,Pays,dispo_quanti,dispo_calories,dispo_proteines,TDI (%),TAS (%),population_croissance,pib_croissance,stab_croissance,Population,Pib,Stab_politique
109,Slovaquie,13.9,48.0,4.74,85.13513513513513,95.94594594594594,0.911,14.989,-12.5,5447900.0,30061.6,0.91
110,Slovénie,24.41,83.0,8.72,38.46153846153847,138.46153846153845,3.194,0.751,-20.909,2076394.0,36507.6,0.87
111,Sri Lanka,7.78,26.0,2.64,0.0,100.0,6.481,52.088,-96.0,21128032.0,12584.1,-0.07
112,Suisse,15.72,55.0,6.49,38.34586466165413,68.42105263157895,12.191,5.493,2.439,8455804.0,69103.6,1.26
113,Suriname,31.06,112.0,9.27,72.0,40.0,11.604,14.405,-750.0,570496.0,18283.7,0.13
114,Suède,16.6,61.0,7.09,44.919786096256686,83.9572192513369,8.097,6.683,-22.835,9904896.0,51948.0,0.98
115,Sénégal,4.76,16.0,1.61,0.0,100.0,31.935,16.935,-79.167,15419355.0,3203.9,-0.05
116,Tchéquie,21.96,82.0,7.5,46.58634538152611,65.46184738955823,2.737,11.853,-1.961,10641034.0,38824.9,1.0
117,Thaïlande,12.95,47.0,4.35,0.22701475595913734,190.2383654937571,4.575,27.79,-32.432,69209810.0,17423.0,-0.75
118,Togo,7.06,24.0,2.39,29.629629629629626,74.07407407407408,30.034,74.247,158.824,7698474.0,2012.2,-0.88
119,Trinité-et-Tobago,54.54,189.0,16.63,30.263157894736842,80.26315789473685,5.778,-7.756,-247.368,1384059.0,27277.9,0.28
120,Tunisie,17.03,57.0,6.28,0.0,109.23076923076923,10.953,16.025,-737.5,11433443.0,11234.5,-1.02
121,Turkménistan,4.52,15.0,1.53,33.33333333333333,74.07407407407408,18.224,85.313,-146.429,5757667.0,14205.0,-0.13
122,Turquie,20.64,71.0,6.99,0.17921146953405018,130.94384707287935,16.577,40.188,118.293,81116450.0,27913.8,-1.79
123,Ukraine,22.62,78.0,7.58,11.992071357779981,120.01982160555005,-4.052,-10.119,-1200.0,44487709.0,11860.6,-1.87
124,Uruguay,9.12,33.0,2.97,9.090909090909092,100.0,3.148,45.156,25.0,3436641.0,23009.9,1.05
125,Vanuatu,11.66,40.0,4.05,133.33333333333331,33.33333333333333,30.089,-5.138,-43.089,285510.0,3081.5,0.7
126,Viet Nam,12.33,48.0,4.01,24.129353233830848,76.11940298507463,10.748,94.391,-8.0,94600648.0,8996.4,0.23
127,Zambie,3.42,11.0,1.15,20.0,81.66666666666667,34.797,26.847,-58.333,16853599.0,3485.0,0.15
128,Zimbabwe,4.68,16.0,1.59,7.894736842105263,90.78947368421053,16.161,118.238,-36.036,14236595.0,3795.6,-0.71
129,Égypte,12.96,50.0,4.51,8.799999999999999,89.44,23.277,12.813,158.182,96442591.0,11014.5,-1.42
130,Émirats arabes unis,43.47,147.0,14.8,105.09708737864078,11.650485436893204,53.792,-2.347,-36.735,9487203.0,67183.6,0.62
131,Équateur,19.31,83.0,6.15,0.0,99.70674486803519,17.408,13.264,-91.358,16785361.0,11617.9,-0.07
